bubble_id,attach_start_frame,last_attached_frame,detach_frame,note,k,fit_kind,conf_dep_last_attached_pct,conf_dep_first_detached_pct,conf_dep_mean_pct,D_area_px_discr,D_area_px_interp,D_area_mm_discr,D_area_mm_interp,D_feret_max_px_discr,D_feret_max_px_interp,D_feret_max_mm_discr,D_feret_max_mm_interp,D_feret_min_px_discr,D_feret_min_px_interp,D_feret_min_mm_discr,D_feret_min_mm_interp,D_ell_maj_px_discr,D_ell_maj_px_interp,D_ell_maj_mm_discr,D_ell_maj_mm_interp,D_ell_min_px_discr,D_ell_min_px_interp,D_ell_min_mm_discr,D_ell_min_mm_interp,D_perim_px_discr,D_perim_px_interp,D_perim_mm_discr,D_perim_mm_interp,D_mix_px_discr,D_mix_px_interp,D_mix_mm_discr,D_mix_mm_interp
10,6,8,,no_detach_found,3,linear,54.62510585784912,nan,54.62510585784912,93.69624678154908,95.68755780689882,2.2321340982187823,2.279573279536315,124.18842315673828,127.91789754231773,2.9585519532973072,3.047399556381071,77.02246856689453,79.69662475585936,1.8349131830006822,1.8986198459502448,119.72286987304688,118.65165201822916,2.8521686765457854,2.8266489574268947,77.21807861328125,80.08846537272134,1.8395732186957292,1.907954700141405,107.15410748903838,108.8499304709158,2.5527419219697456,2.5931416651015806,100.42517713529372,102.2687441389073,2.392438010094264,2.4363574723189476
11,9,18,19,ok,3,linear,93.77577900886536,90.82680940628052,92.30129420757294,139.66854715678627,140.12623355558685,3.327336337006116,3.3382398411713963,147.0,148.66668701171875,3.5019941962368555,3.5416998305360554,128.0,130.33334350585938,3.0493554906007994,3.1049429424058776,157.7850341796875,158.60218811035153,3.7589270336755067,3.778394165121885,125.11912536621094,124.8520228068034,2.980724155583008,2.974360947332361,151.9491962739334,152.64172307987783,3.6198993433616984,3.6363974716280643,145.80887171535983,146.38397831773233,3.473617840183907,3.48731865639973
12,15,18,,no_detach_found,3,linear,88.18040490150452,nan,88.18040490150452,38.0483030155601,36.03325684846484,0.9064281383479778,0.8584235126179305,45.0,36.66666666666666,1.0720390396643436,0.8735132915783538,34.0,34.33333333333333,0.8099850521908374,0.8179260821142768,45.08373260498047,37.1900800069173,1.0740338090294959,0.8859826145701272,33.36027526855469,34.945528666178376,0.7947448324853226,0.8325104664856146,41.715727405353704,38.11446220235831,0.9937975188118872,0.9080042545942028,39.8820152104569,37.073859525411585,0.9501128285799323,0.8832138836060669
13,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,,,,no_frames,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,28,36,,no_detach_found,3,linear,92.01648235321044,nan,92.01648235321044,56.52042124525014,57.288442397594366,1.3464910691818248,1.364787706039625,63.0,65.83665720621742,1.500854655530081,1.5684325948014202,49.0,49.95215352376303,1.1673313987456184,1.1900146376173506,67.6128158569336,68.20238494873044,1.6107461817837598,1.6247915391834413,47.81201934814453,49.157736460367836,1.139030029031064,1.1710891686010139,61.791871783518104,62.960301708632954,1.4720733085747777,1.4999089195711155,59.15614651438412,60.12437205311366,1.4092821888783011,1.4323483128053702
16,,,,no_attached_run,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,,,,no_frames,3,linear,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,39,43,43,ok,3,linear,90.18763303756714,90.18763303756714,90.18763303756714,130.72651287873992,136.44897859142043,3.114309451670951,3.2506362660517096,130.0,156.6666666666672,3.0970016701414367,3.732284064016616,126.0,115.00000000000011,3.001709311060162,2.7396553235866583,138.36851501464844,164.00193786621116,3.296365554579667,3.9070328882929855,124.40894317626952,116.70213826497422,2.963805421518752,2.780205516274631,139.6669589769562,151.15185984836899,3.3272985016554535,3.6009043261183318,135.19673592784807,143.8004192198947,3.220803976663202,3.4257702960850205
19,39,39,40,ok,3,linear,75.09948015213013,75.09948015213013,75.09948015213013,42.77435242974964,44.33582395223067,1.0190172378011775,1.0562163140550391,46.0,50.00000000000003,1.0958621294346622,1.191154488515938,39.0,37.99999999999998,0.929100501042431,0.9052774112721118,47.82794952392578,49.25240707397464,1.1394095350387576,1.1733445151275799,38.95989608764648,40.167304992675774,0.9281451019382921,0.9569093126722873,46.094830905538664,46.699458868689334,1.0981212946103105,1.112525400854094,44.434591667644156,45.51764141046,1.058569266205744,1.0843708574545665
